iter	Passed	Remaining
0	134	134550
1	135	67562
2	136	45219
3	136	34031
4	137	27315
5	137	22849
6	138	19642
7	139	17243
8	139	15375
9	140	13885
10	140	12658
11	141	11634
12	141	10773
13	142	10039
14	143	9400
15	143	8842
16	144	8345
17	144	7902
18	145	7510
19	145	7153
20	146	6829
21	147	6538
22	147	6272
23	148	6028
24	148	5803
25	149	5596
26	149	5404
27	150	5223
28	150	5055
29	151	4898
30	152	4752
31	152	4614
32	153	4487
33	153	4367
34	154	4256
35	154	4149
36	155	4049
37	156	3954
38	156	3863
39	157	3776
40	157	3692
41	158	3613
42	158	3538
43	159	3466
44	160	3398
45	160	3332
46	161	3270
47	161	3210
48	162	3154
49	163	3098
50	163	3045
51	164	2994
52	164	2945
53	165	2897
54	165	2851
55	166	2807
56	167	2766
57	167	2725
58	168	2686
59	169	2648
60	169	2614
61	170	2577
62	170	2541
63	171	2507
64	171	2474
65	172	2442
66	173	2412
67	173	2378
68	174	2349
69	174	2321
70	175	2295
71	175	2267
72	176	2241
73	177	2216
74	177	2190
75	178	2167
76	178	2143
77	179	2120
78	179	2098
79	180	2075
80	181	2053
81	181	2033
82	182	2012
83	182	1991
84	182	1969
85	183	1949
86	183	1929
87	184	1911
88	184	1892
89	185	1876
90	186	1859
91	186	1842
92	187	1826
93	187	1809
94	188	1793
95	188	1777
96	189	1762
97	189	1747
98	190	1731
99	190	1717
100	191	1703
101	191	1687
102	192	1673
103	192	1660
104	193	1647
105	193	1633
106	194	1621
107	194	1608
108	195	1596
109	195	1583
110	196	1571
111	196	1559
112	197	1547
113	197	1536
114	198	1524
115	198	1512
116	199	1502
117	199	1491
118	200	1480
119	200	1470
120	201	1460
121	201	1449
122	201	1438
123	202	1429
124	202	1420
125	203	1410
126	203	1401
127	204	1391
128	204	1382
129	205	1374
130	205	1365
131	206	1356
132	206	1348
133	207	1339
134	207	1331
135	208	1323
136	208	1314
137	209	1306
138	209	1298
139	210	1290
140	210	1283
141	211	1275
142	211	1267
143	212	1260
144	212	1253
145	212	1245
146	213	1238
147	214	1232
148	214	1225
149	215	1218
150	215	1212
151	216	1205
152	216	1199
153	217	1193
154	217	1187
155	218	1180
156	218	1174
157	219	1168
158	219	1162
159	220	1156
160	220	1150
161	221	1144
162	221	1138
163	222	1133
164	222	1127
165	223	1122
166	223	1116
167	224	1110
168	224	1105
169	225	1100
170	225	1094
171	226	1089
172	226	1084
173	227	1079
174	227	1074
175	228	1069
176	228	1064
177	229	1059
178	229	1054
179	230	1049
180	230	1044
181	231	1039
182	231	1035
183	232	1030
184	232	1025
185	233	1021
186	233	1017
187	234	1012
188	235	1008
189	235	1004
190	236	999
191	236	995
192	236	990
193	237	986
194	237	982
195	238	978
196	238	974
197	239	969
198	239	965
199	240	961
200	240	957
201	241	953
202	241	949
203	242	945
204	242	941
205	243	937
206	243	933
207	244	930
208	244	926
209	245	924
210	246	920
211	246	917
212	247	913
213	247	910
214	248	906
215	248	903
216	249	899
217	249	896
218	250	892
219	250	889
220	251	885
221	251	882
222	252	879
223	252	876
224	253	873
225	254	870
226	254	867
227	255	864
228	255	860
229	256	858
230	256	855
231	257	852
232	257	849
233	258	846
234	259	843
235	259	841
236	260	839
237	261	836
238	261	833
239	262	830
240	262	827
241	263	824
242	263	821
243	264	819
244	264	816
245	265	813
246	265	810
247	266	807
248	266	804
249	267	802
250	267	799
251	268	796
252	268	793
253	269	790
254	269	788
255	270	785
256	270	782
257	271	780
258	271	777
259	272	774
260	272	772
261	273	769
262	273	767
263	274	764
264	274	762
265	275	759
266	275	757
267	276	755
268	276	752
269	277	750
270	278	747
271	278	745
272	279	743
273	279	740
274	280	738
275	280	736
276	281	733
277	281	731
278	282	729
279	282	726
280	283	724
281	283	722
282	284	719
283	284	717
284	285	715
285	285	713
286	286	710
287	286	708
288	287	706
289	287	704
